row,label,tool,rackup,rps_med,p99_med,trials,bar


19,hyperion_rails_ar_1w,wrk,bench/rails_ar.ru,569.63,497.28ms,591.62|569.63|510.15,pass
20,agoo_rails_ar_1w,wrk,bench/rails_ar.ru,488.90,417.60ms,495.50|488.90|0.00,ref
21,falcon_rails_ar_1w,wrk,bench/rails_ar.ru,395.80,463.04ms,485.10|395.80|388.16,
22,puma_rails_ar_1w,wrk,bench/rails_ar.ru,BOOT-FAIL,BOOT-FAIL,,


27,hyperion_rails_ar_4w,wrk,bench/rails_ar.ru,2098.73,484.66ms,2094.92|2103.68|2098.73,pass
28,agoo_rails_ar_4w,wrk,bench/rails_ar.ru,509.25,320.44ms,509.25|1923.82|163.68,ref
